,month,region,area,crime,Violence and sexual offences,Vehicle crime,Possession of weapons,Shoplifting,Criminal damage and arson,Drugs,Violent crime,Public order,Theft from the person,Public disorder and weapons,Anti-social behaviour,Robbery,Other theft,Bicycle theft,Burglary,Other crime
4535,2021-01-01,staffordshire,Staffordshire Police,6792,38.839811542991754,4.667255594817433,0.48586572438162545,4.343345111896348,9.511189634864547,1.619552414605418,0.0,4.107773851590106,0.19140164899882214,0.0,23.895759717314487,0.6036513545347467,5.948174322732626,0.5005889281507656,3.7691401648998824,1.5164899882214369
4536,2021-02-01,staffordshire,Staffordshire Police,6405,36.924277907884466,4.6370023419203745,0.6088992974238876,4.98048399687744,8.243559718969555,1.8579234972677596,0.0,3.840749414519906,0.3434816549570648,0.0,26.557377049180328,0.7338017174082748,5.917252146760344,0.468384074941452,3.4192037470725993,1.4676034348165496
4537,2021-03-01,staffordshire,Staffordshire Police,8209,35.424534047996104,4.0808868315263735,0.6821780972103788,5.104153977341942,8.636861980752832,2.3023510780850285,0.0,4.872700694359849,0.24363503471799244,0.0,26.312583749543183,0.6578145937385796,6.4441466682909,0.937994883664271,2.9479839200877085,1.352174442684858
4538,2021-04-01,staffordshire,Staffordshire Police,8151,34.633787265366216,3.7050668629616,0.6256900993743099,4.760152128573181,8.68605079131395,1.0918905655747762,0.0,4.563857195436142,0.1962949331370384,0.0,29.750950803582384,0.5643479327689854,6.318243160348423,0.8097165991902834,2.846276530487057,1.4476751318856582
4539,2021-05-01,staffordshire,Staffordshire Police,7849,38.41253662886992,3.274302458911963,0.6370238246910435,4.561090584787871,7.555102560835775,1.2867881258759077,0.0,4.535609631800229,0.4076952478022678,0.0,28.666072111096955,0.6242833481972225,5.6185501337750035,0.5351000127404765,2.6882405401962033,1.1976047904191616
4540,2021-06-01,staffordshire,Staffordshire Police,8697,34.782108773140166,3.1275152351385533,0.5289180177072553,4.656778199379096,8.727147292169713,1.126825342071979,0.0,4.944233643785213,0.5634126710359895,0.0,30.217316315971026,0.689893066574681,6.059560768080948,0.6783948487984363,2.6330918707600324,1.264803955386915
4541,2021-07-01,staffordshire,Staffordshire Police,8255,37.79527559055118,2.90732889158086,0.47244094488188976,3.513022410660206,7.4621441550575405,1.1992731677771047,0.0,5.81465778316172,0.31496062992125984,0.0,30.042398546335555,0.8116293155663235,5.14839491217444,0.5208964264082374,2.8104179285281647,1.1871592973955178
4542,2021-08-01,staffordshire,Staffordshire Police,7257,31.886454457764916,4.065040650406504,0.6889899407468651,4.9607275733774285,7.978503513848698,0.909466721785862,0.0,5.443020531900234,0.6476505443020532,0.0,31.335262505167425,0.8543475265261127,6.407606448945845,0.6752101419319277,3.155573928620642,0.9921455146754857
4543,2021-09-01,staffordshire,Staffordshire Police,8477,34.57591128937124,5.225905391058157,0.3656954111124218,5.284888521882742,9.118792025480712,1.0734929810074318,0.0,5.591600802170579,0.3067122802878377,0.0,24.938067712634187,0.5780346820809249,6.759466792497346,1.1560693641618498,4.034446148401557,0.990916597853014
4544,2021-10-01,staffordshire,Staffordshire Police,8373,34.44404633942434,5.0041801027110955,0.4657828735220351,5.517735578645647,8.68267048847486,1.2779171145348143,0.0,5.7207691388988415,0.4060671205063896,0.0,24.411799832795893,0.8837931446315538,6.664278036546041,1.242087662725427,4.168159560492057,1.1107130060910069
4545,2010-12-01,suffolk,Suffolk Constabulary,5631,0.0,5.2566151660451075,0.0,0.0,0.0,0.0,12.75084354466347,0.0,0.0,0.0,45.036405611791864,0.3906943704492985,0.0,0.0,6.499733617474694,30.065707689575564
4546,2011-01-01,suffolk,Suffolk Constabulary,6044,0.0,5.98941098610192,0.0,0.0,0.0,0.0,12.59099933818663,0.0,0.0,0.0,39.129715420251486,0.5129053606882858,0.0,0.0,7.114493712772998,34.66247518199868
4547,2011-02-01,suffolk,Suffolk Constabulary,6096,0.0,5.725065616797901,0.0,0.0,0.0,0.0,11.515748031496063,0.0,0.0,0.0,42.94619422572178,0.41010498687664043,0.0,0.0,5.856299212598425,33.54658792650918
4548,2011-03-01,suffolk,Suffolk Constabulary,6719,0.0,4.985860991218932,0.0,0.0,0.0,0.0,12.427444560202412,0.0,0.0,0.0,42.952820360172645,0.38696234558714093,0.0,0.0,6.3997618693257925,32.84714987349308
4549,2011-04-01,suffolk,Suffolk Constabulary,7356,0.0,4.526916802610114,0.0,0.0,0.0,0.0,11.228928765633496,0.0,0.0,0.0,45.282762370853725,0.4893964110929853,0.0,0.0,6.402936378466558,32.06905927134312
4550,2011-05-01,suffolk,Suffolk Constabulary,7460,0.0,4.8123324396782845,0.0,0.0,0.0,0.0,11.729222520107239,0.0,0.0,0.0,44.6514745308311,0.2949061662198391,0.0,0.0,6.380697050938338,32.1313672922252
4551,2011-06-01,suffolk,Suffolk Constabulary,7309,0.0,4.692844438363661,0.0,0.0,0.0,0.0,11.355862635107401,0.0,0.0,0.0,44.31522780134081,0.3283622930633466,0.0,0.0,5.760021890819537,33.54768094130524
4552,2011-07-01,suffolk,Suffolk Constabulary,7806,0.0,4.66307968229567,0.0,0.0,0.0,0.0,11.721752498078402,0.0,0.0,0.0,43.735588009223676,0.2434025108890597,0.0,0.0,6.443761209326159,33.19241609018704
4553,2011-08-01,suffolk,Suffolk Constabulary,7568,0.0,4.519027484143764,0.0,0.0,0.0,0.0,12.315010570824525,0.0,0.0,0.0,44.1992600422833,0.22463002114164904,0.0,0.0,5.9328752642706135,32.809196617336156
4554,2011-09-01,suffolk,Suffolk Constabulary,6855,0.0,3.807439824945295,0.0,5.237053245805981,9.525893508388037,2.173595915390226,11.305616338439096,0.0,0.0,3.574033552151714,45.71845368344274,0.4084609773887673,10.196936542669585,0.0,5.557986870897155,2.4945295404814005
4555,2011-10-01,suffolk,Suffolk Constabulary,6505,0.0,4.919292851652575,0.0,5.518831667947732,11.145272867025366,1.9677171406610299,11.88316679477325,0.0,0.0,3.797079169869331,41.21445042275173,0.4304381245196003,10.607225211375864,0.0,5.980015372790161,2.536510376633359
4556,2011-11-01,suffolk,Suffolk Constabulary,6024,0.0,4.133466135458168,0.0,5.577689243027889,11.420982735723772,2.141434262948207,11.43758300132802,0.0,0.0,3.7848605577689245,40.73705179282869,0.5976095617529881,10.408366533864541,0.0,6.855909694555113,2.905046480743692
4557,2011-12-01,suffolk,Suffolk Constabulary,5812,0.0,7.019958706125258,0.0,6.45216792842395,12.388162422573984,2.219545767377839,12.611837577426016,0.0,0.0,3.940123881624226,35.34067446662078,0.6366139022711631,9.56641431520991,0.0,6.830695113558155,2.993805918788713
